"codice_1_livello","label_1_livello_en","def_1_livello_en","codice_2_livello","label_2_livello_en","def_2_livello_en","codice_3_livello","label_3_livello_en","def_3_livello_en"
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1","Annual cropland","Cropland planted for annually or regularly harvested crops other than those that carry trees or shrubs. They include fields of cereals, of sunflowers and other oil seed plants, of beets, legumes, fodder, potatoes, and other forbs. Croplands comprise intensively cultivated fields, fallow land, temporary grass for silage and grazing as well as traditionally and extensively cultivated crops with little or no chemical fertilisation or pesticide application. Faunal and floral quality and diversity depend on the intensity of agricultural use and on the presence of borders of (semi-)natural vegetation and woody structures between fields. Includes non-permanent greenhouse installations such as film tunnels. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1.10","Other crops","One component of croplands planted for annually or regularly harvested crops other than those that carry trees or shrubs. Croplands comprise intensively cultivated fields as well as traditionally and/or extensively cultivated crops with little or no chemical fertilisation or pesticide application. (Further categories may be added by Member States, depending upon nationally important crop types)."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1","Annual cropland","Cropland planted for annually or regularly harvested crops other than those that carry trees or shrubs. They include fields of cereals, of sunflowers and other oil seed plants, of beets, legumes, fodder, potatoes, and other forbs. Croplands comprise intensively cultivated fields, fallow land, temporary grass for silage and grazing as well as traditionally and extensively cultivated crops with little or no chemical fertilisation or pesticide application. Faunal and floral quality and diversity depend on the intensity of agricultural use and on the presence of borders of (semi-)natural vegetation and woody structures between fields. Includes non-permanent greenhouse installations such as film tunnels. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1.11","Semi-natural elements associated with agricultural land use in annual cropland","Traditional agricultural land use and landscape elements including hedges, ponds, grassy margins etc. as part of the farmed area. Such remaining semi-natural elements are considered part of cropland (and grassland) and can be mapped separately. Treelines and hedgerows are often easiest to distinguish. Member States are requested to fully document the type of landscape elements included in this class where it is reported separately."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1","Annual cropland","Cropland planted for annually or regularly harvested crops other than those that carry trees or shrubs. They include fields of cereals, of sunflowers and other oil seed plants, of beets, legumes, fodder, potatoes, and other forbs. Croplands comprise intensively cultivated fields, fallow land, temporary grass for silage and grazing as well as traditionally and extensively cultivated crops with little or no chemical fertilisation or pesticide application. Faunal and floral quality and diversity depend on the intensity of agricultural use and on the presence of borders of (semi-)natural vegetation and woody structures between fields. Includes non-permanent greenhouse installations such as film tunnels. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1.2","Maize","One component of croplands planted for annually or regularly harvested crops other than those that carry trees or shrubs. Croplands comprise intensively cultivated fields as well as traditionally and/or extensively cultivated crops with little or no chemical fertilisation or pesticide application."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1","Annual cropland","Cropland planted for annually or regularly harvested crops other than those that carry trees or shrubs. They include fields of cereals, of sunflowers and other oil seed plants, of beets, legumes, fodder, potatoes, and other forbs. Croplands comprise intensively cultivated fields, fallow land, temporary grass for silage and grazing as well as traditionally and extensively cultivated crops with little or no chemical fertilisation or pesticide application. Faunal and floral quality and diversity depend on the intensity of agricultural use and on the presence of borders of (semi-)natural vegetation and woody structures between fields. Includes non-permanent greenhouse installations such as film tunnels. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1.3","Dry pulses and protein crops","One component of croplands planted for annually or regularly harvested crops other than those that carry trees or shrubs. Croplands comprise intensively cultivated fields as well as traditionally and/or extensively cultivated crops with little or no chemical fertilisation or pesticide application."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1","Annual cropland","Cropland planted for annually or regularly harvested crops other than those that carry trees or shrubs. They include fields of cereals, of sunflowers and other oil seed plants, of beets, legumes, fodder, potatoes, and other forbs. Croplands comprise intensively cultivated fields, fallow land, temporary grass for silage and grazing as well as traditionally and extensively cultivated crops with little or no chemical fertilisation or pesticide application. Faunal and floral quality and diversity depend on the intensity of agricultural use and on the presence of borders of (semi-)natural vegetation and woody structures between fields. Includes non-permanent greenhouse installations such as film tunnels. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1.4","Root crops, like sugar beet and potatoes","One component of croplands planted for annually or regularly harvested crops other than those that carry trees or shrubs. Croplands comprise intensively cultivated fields as well as traditionally and/or extensively cultivated crops with little or no chemical fertilisation or pesticide application."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1","Annual cropland","Cropland planted for annually or regularly harvested crops other than those that carry trees or shrubs. They include fields of cereals, of sunflowers and other oil seed plants, of beets, legumes, fodder, potatoes, and other forbs. Croplands comprise intensively cultivated fields, fallow land, temporary grass for silage and grazing as well as traditionally and extensively cultivated crops with little or no chemical fertilisation or pesticide application. Faunal and floral quality and diversity depend on the intensity of agricultural use and on the presence of borders of (semi-)natural vegetation and woody structures between fields. Includes non-permanent greenhouse installations such as film tunnels. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1.5","Vegetables (including melons) and strawberries","One component of croplands planted for annually or regularly harvested crops other than those that carry trees or shrubs. Croplands comprise intensively cultivated fields as well as traditionally and/or extensively cultivated crops with little or no chemical fertilisation or pesticide application."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1","Annual cropland","Cropland planted for annually or regularly harvested crops other than those that carry trees or shrubs. They include fields of cereals, of sunflowers and other oil seed plants, of beets, legumes, fodder, potatoes, and other forbs. Croplands comprise intensively cultivated fields, fallow land, temporary grass for silage and grazing as well as traditionally and extensively cultivated crops with little or no chemical fertilisation or pesticide application. Faunal and floral quality and diversity depend on the intensity of agricultural use and on the presence of borders of (semi-)natural vegetation and woody structures between fields. Includes non-permanent greenhouse installations such as film tunnels. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1.6","Industrial crops including annual bioenergy crops","One component of croplands planted for annually or regularly harvested crops other than those that carry trees or shrubs. Croplands comprise intensively cultivated fields as well as traditionally and/or extensively cultivated crops with little or no chemical fertilisation or pesticide application."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1","Annual cropland","Cropland planted for annually or regularly harvested crops other than those that carry trees or shrubs. They include fields of cereals, of sunflowers and other oil seed plants, of beets, legumes, fodder, potatoes, and other forbs. Croplands comprise intensively cultivated fields, fallow land, temporary grass for silage and grazing as well as traditionally and extensively cultivated crops with little or no chemical fertilisation or pesticide application. Faunal and floral quality and diversity depend on the intensity of agricultural use and on the presence of borders of (semi-)natural vegetation and woody structures between fields. Includes non-permanent greenhouse installations such as film tunnels. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1.7","Flowers and ornamental plants (N0000)","One component of croplands planted for annually or regularly harvested crops other than those that carry trees or shrubs. Croplands comprise intensively cultivated fields as well as traditionally and/or extensively cultivated crops with little or no chemical fertilisation or pesticide application."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1","Annual cropland","Cropland planted for annually or regularly harvested crops other than those that carry trees or shrubs. They include fields of cereals, of sunflowers and other oil seed plants, of beets, legumes, fodder, potatoes, and other forbs. Croplands comprise intensively cultivated fields, fallow land, temporary grass for silage and grazing as well as traditionally and extensively cultivated crops with little or no chemical fertilisation or pesticide application. Faunal and floral quality and diversity depend on the intensity of agricultural use and on the presence of borders of (semi-)natural vegetation and woody structures between fields. Includes non-permanent greenhouse installations such as film tunnels. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1.8","Fallow land (Q0000)","Fallow land is all arable land either included in the crop rotation system or maintained in good agricultural and environmental condition, whether worked or not, but which will not be harvested for the duration of a crop year. The essential characteristic of fallow land is that it is left to recover, normally for the whole of a crop year. Fallow land may be bare land with no crops at all or land with spontaneous natural growth which may be used as feed or ploughed in or land sown exclusively for the production of green manure (green fallow). It includes arable land lying fallow for less than 5 years and arable land lying fallow for 5 years or more if for the purpose of fulfilling the ecological focus area."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1","Annual cropland","Cropland planted for annually or regularly harvested crops other than those that carry trees or shrubs. They include fields of cereals, of sunflowers and other oil seed plants, of beets, legumes, fodder, potatoes, and other forbs. Croplands comprise intensively cultivated fields, fallow land, temporary grass for silage and grazing as well as traditionally and extensively cultivated crops with little or no chemical fertilisation or pesticide application. Faunal and floral quality and diversity depend on the intensity of agricultural use and on the presence of borders of (semi-)natural vegetation and woody structures between fields. Includes non-permanent greenhouse installations such as film tunnels. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.1.9","Temporary grasses (G1000)","Temporary grasses sown as intercrop, for silage and grazing."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.2","Rice fields","See level 3 – 2.2.1","2.2.1","Rice fields","Inundated or inundatable fields used for the cultivation of rice (Oryza sativa). When not too heavily treated, they may provide substitution habitats for some wetland species, for example resident birds (e.g. ducks, rails and herons) and as feeding grounds for migratory birds."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.3","Permanent crops","Crops not under a rotation system which provide repeated harvests and occupy the land for a long period before they are renewed. Mainly plantations of woody crops, e.g. vineyards, fruit and berry plantations, olive groves. Excludes pastures, grazing lands and forests. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type. Includes burnt areas of this type.","2.3.1","Olives","Cultivated areas planted with olive trees. These can be intensive plantations but also stands composed of mostly old trees interspersed with semi-natural vegetation."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.3","Permanent crops","Crops not under a rotation system which provide repeated harvests and occupy the land for a long period before they are renewed. Mainly plantations of woody crops, e.g. vineyards, fruit and berry plantations, olive groves. Excludes pastures, grazing lands and forests. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type. Includes burnt areas of this type.","2.3.10","Other perennial crops and orchards","A fruit produced by flowering plants; can be grown in intensive modern plantations but also in an extensive way, using traditional and/or organic methods."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.3","Permanent crops","Crops not under a rotation system which provide repeated harvests and occupy the land for a long period before they are renewed. Mainly plantations of woody crops, e.g. vineyards, fruit and berry plantations, olive groves. Excludes pastures, grazing lands and forests. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type. Includes burnt areas of this type.","2.3.11","Semi-natural elements associated with agricultural land use in permanent crops","Traditional agricultural land use and landscape elements including hedges, ponds, grassy margins etc. as part of the farmed area. Such remaining semi-natural elements are considered part of cropland (and grassland) and can be mapped separately. Treelines and hedgerows are often easiest to distinguish. Member States are requested to fully document the type of landscape elements included in this class where it is reported separately."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.3","Permanent crops","Crops not under a rotation system which provide repeated harvests and occupy the land for a long period before they are renewed. Mainly plantations of woody crops, e.g. vineyards, fruit and berry plantations, olive groves. Excludes pastures, grazing lands and forests. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type. Includes burnt areas of this type.","2.3.2","Grapes","Areas planted with vines, vineyard parcels covering >50% and determining the land use of the area. These can be intensive plantations but also vineyards managed extensively and/or on steep slopes interspersed with semi-natural vegetation."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.3","Permanent crops","Crops not under a rotation system which provide repeated harvests and occupy the land for a long period before they are renewed. Mainly plantations of woody crops, e.g. vineyards, fruit and berry plantations, olive groves. Excludes pastures, grazing lands and forests. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type. Includes burnt areas of this type.","2.3.3","Pome fruits (F1100)","A fruit produced by flowering plants; can be grown in intensive modern plantations but also in an extensive way, using traditional and/or organic methods."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.3","Permanent crops","Crops not under a rotation system which provide repeated harvests and occupy the land for a long period before they are renewed. Mainly plantations of woody crops, e.g. vineyards, fruit and berry plantations, olive groves. Excludes pastures, grazing lands and forests. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type. Includes burnt areas of this type.","2.3.4","Stone fruits (F1200)","A fruit produced by flowering plants; can be grown in intensive modern plantations but also in an extensive way, using traditional and/or organic methods."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.3","Permanent crops","Crops not under a rotation system which provide repeated harvests and occupy the land for a long period before they are renewed. Mainly plantations of woody crops, e.g. vineyards, fruit and berry plantations, olive groves. Excludes pastures, grazing lands and forests. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type. Includes burnt areas of this type.","2.3.5","Berries excluding strawberries (F3000)","A fruit produced by flowering plants; can be grown in intensive modern plantations but also in an extensive way, using traditional and/or organic methods."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.3","Permanent crops","Crops not under a rotation system which provide repeated harvests and occupy the land for a long period before they are renewed. Mainly plantations of woody crops, e.g. vineyards, fruit and berry plantations, olive groves. Excludes pastures, grazing lands and forests. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type. Includes burnt areas of this type.","2.3.6","Citrus fruits (T1000)","A fruit produced by flowering plants; can be grown in intensive modern plantations but also in an extensive way, using traditional and/or organic methods."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.3","Permanent crops","Crops not under a rotation system which provide repeated harvests and occupy the land for a long period before they are renewed. Mainly plantations of woody crops, e.g. vineyards, fruit and berry plantations, olive groves. Excludes pastures, grazing lands and forests. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type. Includes burnt areas of this type.","2.3.7","Nuts (F4000)","A fruit produced by flowering plants; can be grown in intensive modern plantations but also in an extensive way, using traditional and/or organic methods."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.3","Permanent crops","Crops not under a rotation system which provide repeated harvests and occupy the land for a long period before they are renewed. Mainly plantations of woody crops, e.g. vineyards, fruit and berry plantations, olive groves. Excludes pastures, grazing lands and forests. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type. Includes burnt areas of this type.","2.3.8","Hazelnut","A fruit produced by flowering plants; can be grown in intensive modern plantations but also in an extensive way, using traditional and/or organic methods."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.3","Permanent crops","Crops not under a rotation system which provide repeated harvests and occupy the land for a long period before they are renewed. Mainly plantations of woody crops, e.g. vineyards, fruit and berry plantations, olive groves. Excludes pastures, grazing lands and forests. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type. Includes burnt areas of this type.","2.3.9","Chestnut","A fruit produced by flowering plants; can be grown in intensive modern plantations but also in an extensive way, using traditional and/or organic methods."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.4","Agro-forestry areas","Crops combined with scattered tree stands , with a canopy cover, in general, between 10% and 30%. A typical expression are the Iberian dehesas and montados. Includes burnt areas of this type.","2.4.1","Holm and cork oak stands with arable crop understorey","Crops combined with scattered tree stands of holm and cork oak, with a crown cover up to 30% (and normally above 10%). Management of the ground layer is focused on crop production."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.4","Agro-forestry areas","Crops combined with scattered tree stands , with a canopy cover, in general, between 10% and 30%. A typical expression are the Iberian dehesas and montados. Includes burnt areas of this type.","2.4.2","Other agro-forestry area with arable crop understorey","Crops combined with scattered tree stands other than holm and cork oak; with a crown cover up to 30% (and normally above 10%). Management of the ground layer is focused on crop production."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.5","Mixed farmland","Also designated as heterogeneous agricultural areas. Includes: Non-permanent crops (arable lands) associated with permanent crops on the same plot of farmland; juxtaposition or mosaics of small parcels of diverse annual crops, pasture/grassland and/or permanent crops; areas principally occupied by agriculture, interspersed with significant natural areas; and annual crops or grazing land under the wooded cover of forestry species (i.e., agroforestry). Characteristic is that none of these land cover types is dominant in the given unit. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type. Includes burnt areas of this type.","2.5.1","Mosaic farmland (comprising cropland, grassland and (semi-)natural components)","Mosaic of small cultivated land parcels with different cultivation types -annual crops, pasture and/or permanent crops-, eventually with scattered houses or gardens. Mosaic landscapes have no single dominant land cover that covers more than 50% of the MMU. Includes tree lines, hedgerows and other semi-natural elements in mixed farmland."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.6","Other farmland","Other types of farmland not included in the other categories of cropland such as nurseries, Christmas tree plantations and bioenergy grasses and short rotation coppice. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.6.1","Nurseries","Areas dedicated to producing young trees, shrubs, and ornamental species for planting out. Tree and shrub nurseries are the most common type."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.6","Other farmland","Other types of farmland not included in the other categories of cropland such as nurseries, Christmas tree plantations and bioenergy grasses and short rotation coppice. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.6.2","Christmas tree plantations","Christmas tree plantations"
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.6","Other farmland","Other types of farmland not included in the other categories of cropland such as nurseries, Christmas tree plantations and bioenergy grasses and short rotation coppice. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.6.3","Perennial bioenergy crops","This class has two expressions: a) Perennial energy grasses (e.g. Miscanthus, Reed canary grass) and other multi-annual crops used for oil or fibre production. b) Woodland treated as coppice without standards; plantations of dwarf trees or shrubs cultivated for wood or small-tree production, with a regular whole-plant harvesting regime, including short-rotation Salix beds for biomass production."
"2","Cropland","Croplands are food production areas including both intensively managed cropland, extensively managed cropland, and multifunctional areas. They include areas with perennial and annual crops, and agro-ecosystems with significant coverage of natural vegetation (agricultural mosaics). Cropland may include agro-forestry areas such as cork and holm oak stands (see respective classes at level 2). Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.6","Other farmland","Other types of farmland not included in the other categories of cropland such as nurseries, Christmas tree plantations and bioenergy grasses and short rotation coppice. Small semi-natural elements which are associated with agricultural land use, such as hedges, ponds, grassy margins etc., are considered part of this ecosystem type.","2.6.4","Semi-natural elements associated with agricultural land use in other farmland","Traditional agricultural land use and landscape elements including hedges, ponds, grassy margins etc. as part of the farmed area. Such remaining semi-natural elements are considered part of cropland (and grassland) and can be mapped separately. Treelines and hedgerows are often easiest to distinguish. Member States are requested to fully document the type of landscape elements included in this class where it is reported separately."
